TIME_STAMP,FORECAST_VALUE,MEASURED_VALUE
20.1.2023. 00:00:00,603491,6169
20.1.2023. 01:00:00,56879,5768
20.1.2023. 02:00:00,52876,5384
20.1.2023. 03:00:00,502327,5096
20.1.2023. 04:00:00,491119,4961
20.1.2023. 05:00:00,497392,4974
20.1.2023. 06:00:00,523484,5167
20.1.2023. 07:00:00,556269,5528
20.1.2023. 08:00:00,587741,5875
20.1.2023. 09:00:00,609764,6137
20.1.2023. 10:00:00,61567,6212
20.1.2023. 11:00:00,619529,6234
20.1.2023. 12:00:00,617875,6159
20.1.2023. 13:00:00,612599,6010
20.1.2023. 14:00:00,602782,5792
20.1.2023. 15:00:00,609502,5692
20.1.2023. 16:00:00,64982,5892
20.1.2023. 17:00:00,667958,6183
20.1.2023. 18:00:00,664861,6166
20.1.2023. 19:00:00,657931,6048
20.1.2023. 20:00:00,64415,5990
20.1.2023. 21:00:00,627325,5926
20.1.2023. 22:00:00,617272,5970
20.1.2023. 23:00:00,611313,6008
